term_desc,Year,Emplid,academic_organization_desc,subject,Catalog_Nbr,course_id,class_nbr,ssr_component,Primary_Component_Ind,Enrollment_Capacity,Total_Over_Capacity,Instruction_Mode_Desc,Instructor_Role
Winter,2022,0,Dept of Chemistry,CHEM,353,104833,10180,LAB,N,20,0.85,In Person,
Fall,2017,4107633,Department of Geoscience,GOPH,551,122676,70638,LEC,Y,54,0.944444444,In Person,PI
Fall,2020,10113043,Dept of Physics & Astronomy,MDPH,721A,161373,71826,LAB,Y,5,0.2,In Person,PI
Fall,2021,0,Dept of Physics & Astronomy,PHYS,211,132690,71285,LAB,N,21,0.952380952,Web-Based Instruction,
Fall,2017,4273891,Dept of Biological Sciences,BCEM,401,102717,70169,LEC,Y,36,1.027777778,In Person,AL
Fall,2018,4049425,Faculty of Science,ENSC,505,150163,76630,LAB,Y,1,1,Independent Study,PI
Winter,2020,4207063,Dept of Math & Stats,STAT,633,139217,22287,LEC,Y,15,0.533333333,In Person,PI
Winter,2021,10000907,Department of Geoscience,GLGY,301,122148,11876,LEC,Y,200,1,Web-Based Instruction,PI
Fall,2020,955615,Dept of Computer Science,CPSC,699A,107682,70888,LEC,Y,40,0.525,Web-Based Instruction,PI
Fall,2021,0,Dept of Computer Science,CPSC,251,164537,75862,TUT,N,25,0.96,In Person,
Spring,2022,0,Dept of Physics & Astronomy,PHYS,211,132690,1094,LAB,N,19,0.526315789,In Person,
Fall,2017,10029569,Department of Geoscience,GLGY,431,162975,73672,LEC,Y,112,0.714285714,In Person,PI
Spring,2019,10164642,Dept of Chemistry,CHEM,353,104833,30616,LAB,N,20,0.35,In Person,TA
Fall,2018,0,Dept of Chemistry,CHEM,531,104919,74028,TUT,N,65,0.723076923,In Person,
Winter,2022,10191216,Department of Geoscience,GLGY,305,160831,15636,LEC,Y,300,1,In Person,PI
Winter,2020,0,Dept of Biological Sciences,BIOL,243,161577,20125,LAB,N,22,1,In Person,
Winter,2021,30108361,Faculty of Science,SCIE,311,136324,11075,TUT,N,15,1,Web-Based Instruction,TA
Spring,2022,0,Dept of Chemistry,CHEM,201,104793,1087,TUT,N,40,0.9,In Person,
Fall,2021,0,Dept of Biological Sciences,CMMB,403,105370,70244,TUT,N,22,1,In Person,
Winter,2022,10185093,Dept of Computer Science,DATA,211,163976,12888,LEC,Y,124,0.548387097,In Person,PI
Winter,2018,4230559,Dept of Math & Stats,PMAT,429,133014,15534,LEC,Y,35,0.285714286,In Person,PI
Spring,2018,30027756,Dept of Math & Stats,MATH,375,162787,30402,TUT,N,60,1,In Person,PI
Winter,2018,4069678,Department of Geoscience,GLGY,699,150234,16243,LEC,Y,10,0.6,In Person,PI
Fall,2018,30041328,Dept of Computer Science,CPSC,449,161195,72262,TUT,N,25,1,In Person,TA
Winter,2018,4286742,Department of Geoscience,GLGY,510B,150233,16859,LAB,Y,1,1,Independent Study,PI
Fall,2021,4042389,Dept of Math & Stats,MATH,211,125983,75899,LEC,Y,100,0.82,Blended Learning,PI
Fall,2019,4165031,Dept of Biological Sciences,CMMB,565,162111,71799,LEC,Y,15,0.8,In Person,PI
Fall,2017,0,Dept of Physics & Astronomy,PHYS,211,132690,70786,LAB,N,15,1,In Person,
Fall,2019,0,Dept of Physics & Astronomy,PHYS,323,132729,70759,LAB,N,22,1,In Person,
Fall,2020,0,Dept of Chemistry,CHEM,351,104832,71243,TUT,N,40,0.85,Web-Based Instruction,
Fall,2017,0,Dept of Biological Sciences,BIOL,299,103199,76711,LAB,N,30,0.033333333,In Person,
Fall,2017,10146049,Dept of Chemistry,CHEM,599,160606,75828,LEC,Y,50,1,In Person,PI
Fall,2021,0,Dept of Chemistry,CHEM,373,104846,76111,TUT,N,54,0.981481481,In Person,
Spring,2018,30025275,Dept of Math & Stats,MATH,265,162782,30406,TUT,N,55,0.927272727,In Person,PI
Winter,2019,0,Dept of Chemistry,CHEM,353,104833,10284,LAB,N,20,0.95,In Person,
Winter,2018,0,Dept of Physics & Astronomy,PHYS,223,132698,11559,LAB,N,24,0.625,In Person,
Fall,2018,0,Dept of Physics & Astronomy,PHYS,369,132748,70852,LAB,N,24,1,In Person,
Winter,2021,0,Dept of Computer Science,CPSC,457,107231,11731,TUT,N,28,0.964285714,Web-Based Instruction,
Fall,2017,306942,Dept of Computer Science,CPSC,217,160416,70908,TUT,N,25,1,In Person,TA
Winter,2020,999773,Dept of Chemistry,CHEM,351,104832,19934,TUT,N,39,1,In Person,TA
Spring,2018,4205936,Dept of Computer Science,CPSC,601,150075,31421,LEC,Y,2,1,Independent Study,PI
Winter,2019,0,Dept of Chemistry,CHEM,471,104887,12802,LAB,N,10,1,In Person,
Fall,2020,263454,Dept of Computer Science,CPSC,313,107194,71180,TUT,N,27,1.037037037,Web-Based Instruction,TA
Fall,2021,0,Dept of Chemistry,CHEM,209,104797,72041,LAB,N,20,0.95,In Person,
Winter,2022,0,Dept of Biological Sciences,BIOL,243,161577,11297,LAB,N,24,1,In Person,
Winter,2021,0,Dept of Chemistry,CHEM,201,104793,11183,TUT,N,80,0.5,Web-Based Instruction,
Winter,2018,0,Dept of Physics & Astronomy,PHYS,223,132698,10727,LAB,N,24,0.875,In Person,
Fall,2021,0,Dept of Chemistry,CHEM,201,104793,75715,LAB,N,20,1,Web-Based Instruction,
Winter,2018,0,Dept of Biological Sciences,BIOL,243,161577,11951,LAB,N,24,1,In Person,
Fall,2019,30075801,Dept of Computer Science,SENG,511,136350,70894,LAB,N,31,0.935483871,In Person,TA
Spring,2022,0,Dept of Computer Science,CPSC,355,161194,1318,TUT,N,26,0.346153846,In Person,
Winter,2021,10181544,Dept of Math & Stats,MATH,683,163093,16186,LEC,Y,15,0.733333333,Web-Based Instruction,PI
Winter,2018,0,Dept of Chemistry,CHEM,201,104793,11613,TUT,N,60,0.6,In Person,
Winter,2022,0,Dept of Math & Stats,STAT,323,161983,11377,TUT,N,30,1,In Person,
Fall,2017,10141212,Department of Geoscience,GLGY,201,122140,70598,LAB,N,20,0.95,In Person,PI
Winter,2018,4092924,Department of Geoscience,GLGY,579,162981,14626,LAB,N,16,0.3125,In Person,PI
Winter,2021,0,Dept of Math & Stats,STAT,213,139100,10041,LAB,N,30,0.966666667,Web-Based Instruction,
Fall,2019,200993,Faculty of Science,ENSC,505,150163,76915,LAB,Y,1,1,Independent Study,PI
Winter,2021,0,Dept of Physics & Astronomy,PHYS,381,160472,12956,LAB,N,95,0.831578947,Web-Based Instruction,
Fall,2020,10029569,Department of Geoscience,GLGY,615,164108,73922,LEC,Y,10,0.8,Web-Based Instruction,PI
Fall,2021,0,Dept of Chemistry,CHEM,203,104794,70904,LAB,N,20,1,Web-Based Instruction,
Winter,2022,0,Dept of Computer Science,CPSC,217,160416,13451,TUT,N,25,1,In Person,
Winter,2022,10135186,Faculty of Science,NEUR,507,161166,16927,LAB,Y,1,1,Web-Based Instruction,PI
Summer,2019,0,Faculty of Science,CMDA,603,163750,51006,LAB,Y,1,1,Independent Study,
Winter,2019,4102357,Dept of Biological Sciences,CMMB,567,162112,11885,LEC,Y,10,0.2,In Person,PI
Fall,2018,939178,Dept of Computer Science,DATA,311,163977,75711,LEC,Y,60,0.1,In Person,PI
Fall,2018,10055846,Dept of Math & Stats,MATH,211,125983,71019,LAB,N,60,0.983333333,In Person,TA
Spring,2019,0,Dept of Math & Stats,STAT,213,139100,30273,LAB,N,30,0.733333333,In Person,
Winter,2019,977583,Dept of Computer Science,DATA,201,163972,15333,LEC,Y,180,0.983333333,In Person,PI
Fall,2017,10152590,Dept of Math & Stats,STAT,213,139100,70085,LAB,N,30,1,In Person,PI
Fall,2020,0,Dept of Physics & Astronomy,PHYS,323,132729,75741,LAB,N,24,1,Web-Based Instruction,
Fall,2018,955180,Department of Geoscience,GOPH,453,122655,71640,LAB,N,16,0.625,In Person,PI
Winter,2021,4207905,Dept of Biological Sciences,CMMB,451,105377,10247,LEC,Y,24,1.25,Blended Learning,AL
Fall,2021,2004027,Dept of Chemistry,CHEM,453,104881,70937,LAB,N,13,0.769230769,In Person,PI
Fall,2021,0,Dept of Chemistry,CHEM,203,104794,70915,LAB,N,20,1,Web-Based Instruction,
Winter,2021,977418,Dept of Computer Science,CPSC,359,162328,14444,LEC,Y,114,0.728070175,Web-Based Instruction,PI
Fall,2020,4257113,Dept of Math & Stats,STAT,600A,163156,72652,SEM,Y,30,0.333333333,Web-Based Instruction,PI
Fall,2021,0,Dept of Biological Sciences,BIOL,241,161654,71387,LAB,N,26,0.961538462,Web-Based Instruction,
Fall,2020,0,Dept of Math & Stats,MATH,367,162786,72387,TUT,N,40,1,Web-Based Instruction,
Fall,2021,10151851,Dept of Math & Stats,STAT,205,162564,71723,LEC,Y,180,0.927777778,Web-Based Instruction,PI
Fall,2020,10117133,Dept of Computer Science,CPSC,601,150075,74676,LEC,Y,15,0.466666667,Web-Based Instruction,TA
Fall,2017,10024400,Dept of Computer Science,CPSC,499,163310,76316,LEC,Y,30,0.766666667,In Person,AL
Winter,2020,4299013,Dept of Biological Sciences,BCEM,393,102715,18683,LAB,N,20,1,In Person,TA
Winter,2019,338426,Dept of Computer Science,CPSC,313,107194,12877,TUT,N,25,0.96,In Person,TA
Fall,2021,0,Dept of Chemistry,CHEM,201,104793,75713,LAB,N,20,1,Web-Based Instruction,
Spring,2019,10183730,Dept of Computer Science,SENG,300,163551,30887,LEC,Y,60,0.466666667,In Person,PI
Winter,2022,10054553,Dept of Chemistry,CHEM,701,150049,16907,LEC,Y,1,1,Independent Study,PI
Winter,2020,4073451,Dept of Chemistry,CHEM,433,164366,23902,LEC,Y,120,0.508333333,In Person,PI
Winter,2021,0,Dept of Chemistry,CHEM,315,104819,11004,LAB,N,22,0.954545455,In Person,
Winter,2020,0,Dept of Chemistry,CHEM,379,163966,22626,TUT,N,35,0.971428571,In Person,
Fall,2017,10085502,Dept of Chemistry,CHEM,209,104797,70225,TUT,N,40,0.875,In Person,TA
Winter,2019,0,Dept of Computer Science,CPSC,581,107293,15355,LAB,N,25,0.88,In Person,
Winter,2021,0,Dept of Math & Stats,MATH,277,162785,12006,LAB,N,76,0.921052632,Web-Based Instruction,
Winter,2020,10005672,Dept of Biological Sciences,CMMB,528B,150053,25035,LAB,Y,2,1,In Person,AL
Spring,2018,289476,Department of Geoscience,GLGY,305,160831,31343,LEC,Y,200,1,In Person,PI
Winter,2021,4061969,Dept of Math & Stats,MATH,211,125983,10009,LEC,Y,240,0.995833333,Web-Based Instruction,PI
Fall,2017,10115009,Dept of Math & Stats,MATH,249,125996,71469,TUT,N,96,0.875,In Person,PI
Winter,2021,0,Dept of Computer Science,CPSC,359,162328,13737,TUT,N,24,0.625,Web-Based Instruction,
Fall,2017,10145462,Dept of Chemistry,CHEM,203,104794,71300,LAB,N,20,1,In Person,TA
Winter,2019,10177299,Department of Geoscience,GOPH,619,163772,14544,LAB,N,10,0.1,In Person,PI
Fall,2017,30022510,Dept of Computer Science,CPSC,501,107248,72000,TUT,N,27,1,In Person,TA
Fall,2019,0,Dept of Biological Sciences,BIOL,601.05,104063,70237,SEM,Y,50,0.52,In Person,
Winter,2021,0,Dept of Math & Stats,STAT,205,162564,11803,TUT,N,30,1,Web-Based Instruction,
Winter,2022,0,Dept of Biological Sciences,BIOL,331,103218,10141,TUT,N,22,1,In Person,
Fall,2019,0,Dept of Biological Sciences,BIOL,311,103211,70214,LAB,N,25,0.88,In Person,
Fall,2019,0,Dept of Physics & Astronomy,PHYS,221,132696,71620,LAB,N,9,0.888888889,In Person,
Fall,2018,0,Dept of Math & Stats,MATH,265,162782,72629,LAB,N,60,0.983333333,In Person,
Winter,2022,10158106,Faculty of Science,ENSC,502B,117776,10803,LEC,Y,45,0.755555556,In Person,SI
Winter,2021,0,Dept of Computer Science,DATA,211,163976,13371,LAB,N,31,0.870967742,Web-Based Instruction,
Spring,2020,10047454,Dept of Biological Sciences,BCEM,393,102715,31154,LEC,Y,170,0.864705882,Web-Based Instruction,AL
Winter,2020,30046795,Dept of Math & Stats,MATH,277,162785,20807,LAB,N,77,1,In Person,PI
Fall,2017,30024146,Dept of Math & Stats,STAT,213,139100,71454,TUT,N,83,0.987951807,In Person,PI
