collectionDate,dataType,compressed,uncompressed
2014-12-07,traceroute,295258,1555811
2014-12-07,tunnel,10984356,43035430
2014-12-07,weird,268713487,1060282374
2014-12-07,x509,761224422,6772333880
2014-12-08,app_stats,6859,11146
2014-12-08,capture_loss,57009,154514
2014-12-08,communication,12452174,62715286
2014-12-08,conn,17843480577,50326043611
2014-12-08,conn-summary,67487,302026
2014-12-08,dhcp,298,421
2014-12-08,dns,3714677229,28970073612
2014-12-08,dpd,22533183,99702422
2014-12-08,files,9619291610,28523579665
2014-12-08,ftp,1324585,9605609
2014-12-08,http,18555568531,60894812150
2014-12-08,irc,271433,2465575
2014-12-08,known_certs,75844,485548
2014-12-08,known_hosts,404876,1499818
2014-12-08,known_services,1859413,8984921
2014-12-08,modbus,2007749,24098129
2014-12-08,notice,4320304,29434993
2014-12-08,radius,126894,807630
2014-12-08,reporter,458189,7382759
2014-12-08,smtp,26500085,133880905
2014-12-08,snmp,8531823,32209685
2014-12-08,socks,8891,20837
2014-12-08,software,73956295,812932227
2014-12-08,ssh,64442089,310462646
2014-12-08,ssl,2767269329,10428935608
2014-12-08,syslog,10386589,202182971
2014-12-08,traceroute,356571,1911587
2014-12-08,tunnel,15959842,60273805
2014-12-08,weird,388900613,1536782026
2014-12-08,x509,1408825991,11837801631
2014-12-09,app_stats,6838,11083
2014-12-09,capture_loss,57810,155463
2014-12-09,communication,12584956,63213997
2014-12-09,conn,17572652502,49430890680
2014-12-09,conn-summary,66362,299454
2014-12-09,dnp3,269,364
2014-12-09,dns,4489934375,69411288456
2014-12-09,dpd,24077254,106274454
2014-12-09,files,9616363407,28380203613
2014-12-09,ftp,867613,5717485
2014-12-09,http,18634110227,60820459180
2014-12-09,irc,26899,161245
2014-12-09,known_certs,79195,516399
2014-12-09,known_hosts,411707,1521289
2014-12-09,known_services,1043270,4814730
2014-12-09,modbus,2011157,24162436
2014-12-09,notice,4427258,30046068
2014-12-09,radius,137092,941445
2014-12-09,reporter,494605,7931422
2014-12-09,signatures,1240,1841
2014-12-09,smtp,98620288,746716030
2014-12-09,snmp,4506490,16577243
2014-12-09,socks,7843,15159
2014-12-09,software,75879458,858009813
2014-12-09,ssh,73599559,347293159
2014-12-09,ssl,2734071338,10268099235
2014-12-09,syslog,10103485,198430081
2014-12-09,traceroute,340194,1867883
2014-12-09,tunnel,16875929,64344393
2014-12-09,weird,327005726,1274286946
2014-12-09,x509,1386372498,11593466130
2014-12-10,app_stats,6868,11146
2014-12-10,capture_loss,58401,155779
2014-12-10,communication,12601939,63026857
2014-12-10,conn,16444998161,45948597457
2014-12-10,conn-summary,65760,299782
2014-12-10,dnp3,1841,3188
2014-12-10,dns,5084798547,63677808272
2014-12-10,dpd,23001418,102214903
2014-12-10,files,9128192672,26994304862
2014-12-10,ftp,1237380,9429664
2014-12-10,http,17856540246,58761134693
2014-12-10,irc,22070,115888
2014-12-10,known_certs,72648,447397
2014-12-10,known_hosts,409185,1497594
2014-12-10,known_services,1216078,5492012
2014-12-10,modbus,1996784,23952369
2014-12-10,notice,4468851,30457061
2014-12-10,radius,138301,902546
2014-12-10,reporter,455341,7311961
2014-12-10,smtp,35561075,187809778
2014-12-10,snmp,6109781,21685585
2014-12-10,socks,5678,10068
2014-12-10,software,77620775,880957468
2014-12-10,ssh,61173096,295062096
2014-12-10,ssl,2631319266,9854944761
2014-12-10,syslog,8558433,180551807
2014-12-10,traceroute,351048,1916742
2014-12-10,tunnel,14820227,56767606
2014-12-10,weird,243620288,929961432
2014-12-10,x509,1345737059,11167897399
2014-12-11,app_stats,6839,11087
2014-12-11,capture_loss,58176,155561
2014-12-11,communication,12601274,62757953
2014-12-11,conn,16296632990,45557905482
2014-12-11,conn-summary,67229,302843
2014-12-11,dnp3,270,363
2014-12-11,dns,3766282350,35716390080
2014-12-11,dpd,21935897,96945572
2014-12-11,files,8967519017,26571474208
2014-12-11,ftp,1260308,9803720
2014-12-11,http,17159345577,56528197535
2014-12-11,irc,24611,133453
2014-12-11,known_certs,74839,458572
2014-12-11,known_hosts,402730,1470485
2014-12-11,known_services,1233180,5550300
2014-12-11,modbus,2006079,24074749
2014-12-11,notice,4277837,28766313
2014-12-11,radius,139707,956313
2014-12-11,reporter,439763,7142919
2014-12-11,smtp,85804091,618779410
2014-12-11,snmp,6129242,21580521
2014-12-11,socks,8429,16060
2014-12-11,software,78461432,900538219
2014-12-11,ssh,89989850,422030680
2014-12-11,ssl,2567180145,9655842337
2014-12-11,syslog,7818901,170615277
2014-12-11,traceroute,330483,1788532
2014-12-11,tunnel,13910377,53311198
2014-12-11,weird,229518364,886660819
2014-12-11,x509,1318502691,10984518384
2014-12-12,app_stats,6823,11132
2014-12-12,capture_loss,57466,154586
2014-12-12,communication,12562141,62493640
2014-12-12,conn,13607065276,38025662070
2014-12-12,conn-summary,65440,300743
2014-12-12,dns,2991133667,22672773560
2014-12-12,dpd,16729077,73117975
2014-12-12,files,8380438353,24929845606
2014-12-12,ftp,2368880,15743250
2014-12-12,http,16201997774,53282990209
2014-12-12,irc,30102,174582
2014-12-12,known_certs,74013,450776
2014-12-12,known_hosts,385480,1398923
2014-12-12,known_services,1102939,4995198
2014-12-12,modbus,2009051,24110671
2014-12-12,notice,4020493,27024918
2014-12-12,radius,128941,840012
2014-12-12,reporter,364301,5884663
2014-12-12,smtp,19359393,96726652
2014-12-12,snmp,4265285,15483755
2014-12-12,socks,6747,11582
2014-12-12,software,74065228,849608915
2014-12-12,ssh,87019985,418483921
2014-12-12,ssl,2353417740,8893284682
2014-12-12,syslog,7523617,167850943
2014-12-12,traceroute,330817,1764764
2014-12-12,tunnel,12089906,47448622
2014-12-12,weird,213048365,812039189
2014-12-12,x509,1216138917,10154849683
2014-12-13,app_stats,6793,11009
2014-12-13,capture_loss,56087,152046
2014-12-13,communication,12519443,62167538
2014-12-13,conn,9951324135,28216931253
2014-12-13,conn-summary,65681,300230
2014-12-13,dns,2305212354,17814446314
2014-12-13,dpd,7466545,31041746
2014-12-13,files,4938061592,14538820987
2014-12-13,ftp,751453,5110897
2014-12-13,http,9003815525,30972557243
2014-12-13,irc,20616,107815
2014-12-13,known_certs,72209,427199
2014-12-13,known_hosts,298556,1049694
2014-12-13,known_services,1246753,5642677
2014-12-13,modbus,2013707,24180580
2014-12-13,notice,3179314,21556211
2014-12-13,radius,87119,501021
2014-12-13,reporter,313074,5081544
2014-12-13,smtp,9862667,48092379
2014-12-13,snmp,6896676,24633694
2014-12-13,socks,8620,17928
2014-12-13,software,34671558,382150530
2014-12-13,ssh,118437969,583867261
2014-12-13,ssl,1366824758,5304629817
2014-12-13,syslog,4016127,69992044
2014-12-13,traceroute,310380,1628125
2014-12-13,tunnel,5053963,23667282
2014-12-13,weird,166426835,658276977
2014-12-13,x509,678690437,5947175669
2014-12-14,app_stats,6796,11056
2014-12-14,capture_loss,55588,151316
2014-12-14,communication,12521452,62105456
2014-12-14,conn,9575742518,27396117999
2014-12-14,conn-summary,64659,297843
2014-12-14,dns,3647297389,39436166041
2014-12-14,dpd,8585234,36314997
2014-12-14,files,4818464697,14297041862
2014-12-14,ftp,574109,3681820
2014-12-14,http,8607873364,29805831748
2014-12-14,irc,20624,111463
2014-12-14,known_certs,68246,400048
2014-12-14,known_hosts,297875,1051755
2014-12-14,known_services,959237,4313263
2014-12-14,modbus,2015424,24190084
2014-12-14,notice,3060565,20864870
2014-12-14,radius,81248,443827
2014-12-14,reporter,306536,4983063
2014-12-14,smtp,9707380,46816050
2014-12-14,snmp,3490625,12783753
2014-12-14,socks,3990,6359
2014-12-14,software,31222368,343663724
2014-12-14,ssh,105642435,503450007
2014-12-14,ssl,1381175896,5408631082
2014-12-14,syslog,2680841,31381148
2014-12-14,traceroute,297806,1569310
2014-12-14,tunnel,4961815,23708934
2014-12-14,weird,165634350,650078292
2014-12-14,x509,682511736,6151122552
2014-12-15,app_stats,7040,11305
2014-12-15,app_stats-14-12-21_20,217,287
2014-12-15,capture_loss,56469,153280
2014-12-15,communication,12263883,61895910
2014-12-15,communication-14-12-21_20,29380,149968
2014-12-15,conn,12694280730,35772166837
2014-12-15,conn-14-12-21_20,404723620,1522599968
2014-12-15,conn-summary,67074,311103
2014-12-15,dnp3,4631,13897
2014-12-15,dnp3-14-12-21_20,271,364
2014-12-15,dns,3945630591,42434881595
2014-12-15,dpd,14770300,63718839
2014-12-15,dpd-14-12-21_20,7857,32013
2014-12-15,files,8436434079,24964225166
2014-12-15,files-14-12-21_20,1187323,3796488
2014-12-15,ftp,1289309,9461241
2014-12-15,ftp-14-12-21_20,574,1064
2014-12-15,http,16330513137,52952425738
2014-12-15,http-14-12-21_20,1457525,5049966
2014-12-15,irc,21316,109129
2014-12-15,irc-14-12-21_20,318,592
2014-12-15,known_certs,74073,495531
2014-12-15,known_certs-14-12-21_20,598,899
2014-12-15,known_hosts,529721,1981398
2014-12-15,known_hosts-14-12-21_20,474,1195
2014-12-15,known_services,1668793,7836019
2014-12-15,known_services-14-12-21_20,1244,4129
2014-12-15,loaded_scripts,2072,18071
2014-12-15,modbus,1953331,23176789
2014-12-15,modbus-14-12-21_20,947,6392
2014-12-15,notice,4129115,27934096
2014-12-15,notice-14-12-21_20,2892,13576
